Iteration,test_preds,estimated_params
64,"[-0.34437656, 0.84611917, 0.18349409, 1.4033291, -0.09923357, 2.439187, -0.1761114, -0.112434804, 0.01670289, 0.16695207, -0.08474625, -0.13273107, -0.15841582, -0.10724996, 0.01938631, 0.07510817, 0.094092846, 0.039066255, -0.045189798, -0.022044014, -0.016107624]","[3.5246265, 3.395925, 4.1854753, 2.9929862, 1.5439048, 1.675773, 2.1949017, 2.4269986, 2.4627645, 1.5300786]"
65,"[-0.75563824, 3.6440945, -0.56038237, -2.3837814, 0.7096528, -2.103787, 0.17687343, 0.02186954, 0.2527477, -0.010491714, 0.34042913, -0.019246146, 0.14082304, 0.0535139, 0.109637804, 0.027507737, -0.28872874, -0.12183706, 0.016370438, 0.027734727, 0.21702044]","[1.4860727, 1.8725562, 0.7534144, 2.5339885, 3.2612457, 4.545482, 3.5733795, 0.24431211, 4.0735435, 4.3717523]"
66,"[-0.76248485, 2.444678, 0.7919502, -2.721766, -1.0365405, 2.1972563, -0.08032775, -0.32279235, 0.22621393, 0.3007832, -0.030222934, 0.16292436, 0.012349129, 9.022653e-05, -0.03605315, 0.14033946, 0.07111491, 0.021511286, -0.14346933, 0.09193146, -0.041685194]","[1.87452, 4.1825166, 4.7171516, 4.421203, 2.3247414, 4.97921, 1.2232692, 2.0119648, 3.1055295, 2.498096]"
67,"[-0.015319347, 0.3621769, -0.37634134, 2.2861261, 4.8312497, -4.573127, 0.41104987, 0.047909558, 0.16290334, -0.33543807, 0.019322552, 0.36851782, -0.36016068, -0.16260216, 0.005824986, 0.14590088, 0.22195904, 0.23102537, -0.176723, 0.039225362, -0.04741937]","[3.2137666, 0.9151896, 0.16702798, 1.1363941, 2.5917227, 2.0899553, 4.742036, 4.325184, 1.2760372, 4.087127]"
68,"[-1.0182605, 3.5818415, 2.29307, -0.2967421, 0.17464367, 1.6254258, 0.21699417, 0.24146974, -0.30154595, 0.09711966, 0.045138806, 0.14302973, -0.09176034, -0.1297504, -0.08473422, 0.022782102, 0.09843661, -0.002908267, 0.021805853, 0.008878261, 0.0313683]","[3.9323506, 2.8032923, 3.545899, 3.3196833, 4.657013, 0.7613016, 2.4291842, 2.9996052, 2.1658103, 3.565472]"
69,"[1.167794, -3.0555034, -5.8063974, 3.1687858, -1.2044235, -1.0290749, -0.5617407, -0.3686365, 0.4848244, 0.052107688, 0.0019466728, -0.55594456, 0.11682856, 0.037416488, -0.09200223, 0.15034479, -0.13433222, -0.015164053, 0.058654223, 0.04320045, 0.12929472]","[1.2855024, 1.6868274, 1.7551922, 2.1213286, 0.1011, 2.5857146, 3.3239243, 0.6186585, 3.6775188, 0.8212574]"
70,"[0.05809748, 0.09226608, -2.1659815, 0.0051982403, 1.547341, -3.0309741, 0.24754584, -0.5065823, 0.010814846, 0.12455708, -0.13182154, 0.1598463, -0.1987881, 0.15216795, -0.0064822733, 0.08452156, -0.15681231, -0.05187127, -0.10240473, -0.10343719, 0.0049204268]","[0.66057795, 3.571223, 0.6746062, 1.6036973, 1.1928493, 3.8559701, 2.00868, 3.1887772, 1.8554754, 4.7094803]"
71,"[-1.213485, 4.765919, 1.4002582, -1.5792301, 0.29178685, 1.9026103, -0.15091974, 0.21888065, -0.005677283, 0.22347516, 0.2564259, -0.112949215, 0.21860701, -0.20334265, 0.022510014, 0.055143453, 0.059253603, 0.0058385655, -0.0063097402, -0.00078715384, 0.027751956]","[4.336268, 2.4571543, 3.9614458, 2.7809858, 4.261434, 1.727821, 2.672104, 0.8707516, 4.842549, 1.7820956]"
72,"[0.21389723, -2.0294428, -2.8467398, -5.17457, 3.042673, 0.027672768, -0.47737247, 0.45950165, -0.36972287, 0.40215284, -0.3059905, -0.27885458, 0.030115403, 0.2391231, 0.06183581, -0.07411361, 0.072564796, -0.12950066, 0.12377459, -0.10874089, 0.08002414]","[2.9513304, 3.6771688, 2.1711628, 0.10598775, 3.3872566, 1.2895882, 0.4610139, 1.6674991, 3.1364896, 1.4575677]"
73,"[0.30410087, -2.2504625, 4.1793113, 2.4819643, -1.9710844, -0.5106108, 0.8247186, -0.008771867, 0.19632533, -0.6748158, -0.06907301, -0.04705061, -0.0912518, 0.03317994, 0.11095881, -0.061690804, 0.14273651, -0.16553977, 0.006016135, 0.07251869, 0.01061666]","[2.2811103, 0.3215153, 2.5229256, 3.8013165, 2.0623782, 3.2931678, 4.0807037, 3.537944, 0.549491, 2.412964]"
74,"[0.20061243, -2.8691552, 2.9202044, 0.46380624, 4.100625, -2.4545095, -0.11943221, 0.071959466, -0.1260308, 0.074015185, -0.11877597, -0.05704335, 0.01417172, -0.20358834, -0.18448402, -0.052921176, -0.12695417, 0.047298968, 0.02083107, 0.14008184, -0.0027535036]","[2.925412, 3.054544, 0.5986075, 1.3311205, 3.684508, 2.3938665, 2.6541247, 2.395784, 1.2281648, 1.0888124]"
75,"[-0.20917451, 1.4540968, -1.2082939, 0.518739, -2.5571165, 0.63202095, 0.16960374, 0.007432699, 0.73667246, -0.38858283, -0.04157865, -0.13275266, -0.21710996, 0.065393254, 0.17020081, 0.03654959, 0.14920612, -0.03399622, -0.032326788, -0.00699275, -0.038701437]","[2.5114286, 0.1376, 3.9067113, 3.9024248, 0.8436306, 3.89967, 1.586989, 3.860397, 2.9862766, 2.5489726]"
76,"[-1.131782, 5.2039366, 0.2591604, 1.3770471, 2.8539329, -0.58788633, -0.08760288, -0.2532495, -0.24915934, 0.045300562, 0.18160786, 0.06021121, 0.088254966, 0.18298721, 0.15491343, -0.10250279, -0.012550518, 0.20691969, -0.005500555, -0.072967686, -0.0025808252]","[4.2450128, 3.8806164, 1.4009013, 1.3046398, 2.33358, 2.9306283, 4.108309, 3.3040924, 4.1770635, 4.0209646]"
77,"[1.2774844, -6.0651255, -2.7611356, -8.516626, -4.075005, 1.3902497, -0.36046863, -0.1135239, -0.4342071, -0.09669173, -0.2701777, 0.39508522, -0.23454861, 0.12012803, -0.018437862, 0.24669778, -0.17991248, 0.46384618, 0.12341228, 0.07317579, 0.055547886]","[0.5500256, 2.1424003, 3.2367048, 3.93318, 3.067316, 1.4145193, 0.35740092, 0.91655904, 2.0130713, 1.7651393]"
78,"[-1.206818, 6.0053973, 1.475508, 0.84319603, -2.056765, 0.1534009, -0.143049, -0.06118855, -0.23625934, -0.11132586, 0.016857646, 0.26842126, 0.06107544, 0.05384901, 0.17342891, 0.13748577, 0.00054979324, -0.08225031, 0.056824416, 0.030371316, -0.022318255]","[1.3623265, 2.9083896, 4.0226893, 3.5859048, 3.3438134, 2.3280063, 4.7861114, 3.0253267, 4.6684732, 3.4888608]"
79,"[1.718328, -9.328673, -0.036559105, -4.583699, 4.5979657, -1.153789, -0.7370641, -0.09130642, 0.43177333, -0.058758616, 0.42165154, -0.19750893, -0.06720677, -0.17378613, -0.27670965, 0.060187906, -0.115122646, -0.20672236, 0.27797008, -0.21257693, -0.2016276]","[2.947606, 2.632292, 0.7550961, 0.81256306, 1.6343483, 4.4438066, 0.8841202, 0.5301267, 1.7644453, 0.11856746]"
80,"[0.7170131, -5.1941366, 3.806387, 3.547405, 1.0508238, 1.7647202, 0.65072846, -0.56923276, -0.24209598, -0.042335767, -0.07398772, -0.15482408, 0.21755391, -0.034519613, 0.29152665, 0.02469188, -0.01923541, 0.03015998, 0.03938073, 0.047427826, 0.053427562]","[2.9092283, 4.9911995, 2.6454015, 3.1388822, 1.2648649, 2.4369848, 3.6566758, 1.8438524, 0.2944209, 1.9067506]"
81,"[-0.51031697, 3.2472599, -1.0625033, 0.20324373, -1.3111725, -1.4337022, 0.16457655, 0.76094615, -0.11193162, -0.19822393, -0.05863589, 0.13642734, -0.08975978, -0.039291084, 0.16513859, -0.14556636, 0.005806476, 0.018743336, -0.08923058, -0.015537791, -0.049375303]","[1.7363877, 1.0259318, 2.2151732, 1.8776147, 3.7882698, 0.4359857, 2.2588425, 4.124563, 3.4985254, 3.714992]"
82,"[1.0661749, -0.38074493, -8.84255, 8.188661, 0.9807049, 0.81612206, -0.424354, 0.33896086, -0.24864915, -0.061971933, -0.062677324, -0.09780741, 0.7028945, 0.7800305, -0.2012755, 0.0054267943, 0.15903354, 0.09915197, -0.059424225, 0.16704763, -0.014237279]","[1.7880236, 3.0867867, 2.871291, 0.1063, 0.34007856, 0.81804705, 4.401104, 2.6719525, 4.334793, 2.0437424]"
83,"[-0.38162756, 0.04288006, 0.1648531, -7.5165215, 0.53969765, 2.3496747, 0.3075487, -0.09090257, 0.02503571, -0.2222621, 0.41074997, -0.03830968, 0.13592714, -0.23467112, -0.3571139, -0.038893595, 0.0888423, 0.07592529, -0.27772444, 0.10234699, -0.023594022]","[3.5052578, 2.069123, 2.5471046, 3.9287138, 4.2941356, 4.1178126, 0.9689226, 0.53984773, 1.5837784, 4.627159]"
84,"[-0.4206717, -0.41866684, 4.865761, 1.0880334, 0.958432, 1.4960134, 0.5095055, -0.31499827, -0.34203148, 0.07043955, 0.06489813, -0.10356805, 0.085602686, 0.046024084, -0.15912732, 0.035584703, 0.08426422, -0.010972507, 0.115457565, 0.00043834746, -0.054607037]","[3.8029873, 4.9938, 3.0870368, 2.956717, 3.172227, 3.057558, 3.752516, 1.662617, 0.6123188, 2.7380095]"
85,"[0.14225006, 0.949605, -1.1932163, 1.0172517, -3.5123444, -3.991482, -0.38675267, 0.106469035, 0.076046705, -0.20136598, -0.081100196, -0.012861744, -0.08677116, -0.21646236, 0.011238683, -0.325337, 0.18069951, -0.0366825, -0.122678, -0.018365223, -0.030529588]","[0.8074278, 0.63854057, 1.4168177, 2.726392, 2.4294362, 2.0167916, 2.5252733, 4.552233, 3.6853063, 1.2548089]"
86,"[0.7421124, -2.0583963, -3.7965984, 2.5807467, -1.4838243, 0.45573664, 0.51256627, 0.12125552, -0.62763363, 0.2963667, -0.11648091, 0.23564205, -0.2293086, -0.12960985, -0.104555786, 0.08769288, -0.29491413, -0.12289485, -0.023938179, -0.022786386, -0.035821058]","[0.33718872, 4.84771, 2.0618508, 3.521014, 1.7694194, 0.22401111, 2.9927604, 1.5060049, 1.192156, 3.886165]"
87,"[-0.9428719, 3.1235049, 2.191142, -0.6083609, 0.32434797, 1.2624686, 0.043243766, 0.15046358, 0.13639343, -0.064456984, 0.02143281, -0.014894467, 0.004590258, -0.006810203, -0.07737107, -0.030731827, 0.15244867, 0.03740336, 0.012889326, -0.024851114, -0.016035207]","[4.6027403, 1.4117638, 3.2499633, 2.9112031, 3.4233723, 2.7276123, 2.0383883, 3.2741978, 2.7087648, 2.2254553]"
88,"[-1.11573, 4.111125, 3.0448456, 0.20531905, 1.381921, -0.5464783, -0.45826703, -0.1947807, 0.17088515, -0.20958427, -0.02789995, 0.18552653, 0.13842422, -0.063165516, -0.13173117, -0.14624953, -0.061521698, -0.0017083213, 0.0571782, 0.013798028, 0.038491085]","[3.0754151, 2.60271, 0.9540674, 4.263624, 4.243433, 4.3346043, 3.608271, 3.7879736, 4.1619797, 0.6626964]"
89,"[0.6481006, -2.3888512, -5.23079, -3.9613748, -1.5316262, 1.6172264, 0.125264, 0.011584759, 0.20390102, 0.06156677, -0.11495456, -0.2582211, -0.09511742, 0.22996993, 0.10218805, 0.10101175, -0.021713182, 0.07571087, 0.09498478, -0.10545314, -0.14312245]","[2.0198445, 1.516045, 4.195183, 1.4061766, 0.9343521, 2.1248655, 0.6033437, 1.2444736, 2.3125246, 3.3058546]"
90,"[-0.4940198, 0.7203096, 3.394864, 0.5736879, 0.15193003, 0.80112314, -0.7858081, 0.17129703, -0.13546234, 0.24388105, -0.09647604, -0.35086265, 0.1579816, -0.12735718, -0.17792521, 0.1795471, -0.08973628, 0.030309305, 0.07386941, 0.015093833, 0.030736387]","[2.1302183, 4.593769, 4.2312922, 0.6232111, 3.464701, 2.1902866, 3.9722795, 0.5387845, 2.7461956, 0.3288414]"
91,"[0.32703507, -2.804378, -1.5507331, -4.297637, 0.5291816, 0.5321603, 0.5870741, -0.03197229, 0.45604178, 0.058636248, -0.24683622, 0.09370923, -0.19776008, 0.13181731, -0.02604539, -0.15259206, 0.046415076, 0.053815983, 0.1731434, -0.013856381, -0.031216666]","[3.0736117, 1.3628346, 1.3987684, 3.0663037, 1.8093191, 3.4969351, 0.463699, 2.1866198, 1.3642147, 3.194977]"
92,"[-0.8786926, 3.4173245, 1.2530553, 2.0246449, 0.7299483, 1.4051279, 0.09695506, -0.34261677, -0.19024014, -0.027878344, 0.0416494, -0.14287134, -0.092428505, 0.18790004, 0.011539213, 0.0036332086, 0.1300655, 0.054305874, 0.0519346, -0.060443908, -0.08186558]","[4.140342, 3.370987, 3.866052, 1.6066806, 1.561711, 3.1307056, 3.7541354, 3.311374, 2.1791942, 3.592946]"
93,"[0.17742872, 0.3979435, -2.9893475, -2.4499269, -2.1052642, -3.759509, -0.09216109, 0.26328778, -0.14638115, 0.16205692, -0.046236485, 0.27117887, -0.06651926, -0.19245656, 0.09316536, -0.20923927, -0.16236955, -0.0750742, 0.046114102, 0.15055634, 0.05461486]","[0.47230044, 1.3659195, 0.31454754, 3.5576127, 3.7974007, 0.92588496, 1.3387855, 2.6520581, 3.9134908, 2.3106875]"
94,"[-0.704298, 2.6172974, 2.8662472, 0.34135628, -1.4439673, -0.85738254, 0.03198877, -0.065850526, -0.19554874, -0.15941867, -0.14541954, 0.24112058, -0.055840448, 0.082211345, -0.13473319, 0.0037951544, -0.010715306, -0.113159895, -0.050778747, 0.05997315, 0.0125267655]","[1.0075623, 2.879231, 2.3999581, 3.603403, 4.194764, 2.5882382, 3.3977106, 3.9786797, 1.9480675, 2.6572087]"
95,"[-0.40822887, 1.7851616, -1.8500446, 0.61937267, 1.4918828, 0.801806, -0.40366328, -0.28360707, 0.32344323, 0.10514743, 0.10593481, -0.50128764, 0.087806776, 0.014042631, 0.13827607, -0.016848464, -0.009918708, -0.04128793, 0.006232232, -0.14200799, -0.021287568]","[3.967371, 2.1657197, 2.5911458, 1.226978, 0.47368014, 4.282097, 2.2875423, 1.4706041, 4.713029, 1.1781876]"
96,"[-0.72886544, 2.6362987, 0.953671, 1.7637038, 2.2392232, -0.108519554, -0.29615456, -0.3605054, -0.065602005, -0.008249573, 0.07515806, -0.119972765, -0.016904227, -0.062243327, -0.026185624, -0.11153539, -0.13583425, 0.012307536, 0.14017278, 0.014215857, 0.04194963]","[3.635673, 3.827898, 0.97110933, 3.0449111, 1.9123952, 3.0396535, 4.426527, 1.9001676, 3.2656906, 1.5455928]"
97,"[1.1494308, -5.0437665, -0.7383723, -0.936872, -3.9591608, -0.79057264, 1.0942689, 0.5319116, -0.27791783, -0.064961076, -0.1858683, 0.028146341, -0.2571013, -0.14258829, 0.038908243, -0.047173, 0.15232038, -0.08451033, 0.1137591, -0.12221389, -0.035694882]","[1.5904833, 0.3316771, 2.9004586, 3.2345996, 3.1823184, 0.1117, 1.1808145, 2.6464384, 0.14202644, 4.2880735]"
98,"[0.22434044, -0.67513084, -1.2505472, 3.1645324, 1.9018161, -1.9654589, -0.003437519, 0.099886894, -0.35008806, -0.029868372, -0.2467003, -0.07996867, -0.17704506, 0.14600661, -0.052163906, -0.08268983, -0.022980541, 0.18264106, -0.15409073, 0.07297275, -0.058784585]","[1.7493763, 2.8492813, 1.1374501, 1.0977482, 1.7374362, 1.2235969, 2.9111626, 4.395643, 1.5775169, 2.3114207]"
99,"[-1.2748958, 5.5097446, 1.2956066, -1.3575584, -0.74512124, 1.6770724, 0.10231367, 0.044158027, 0.22056356, 0.011387322, 0.22217444, 0.12195279, 0.12708612, -0.054118246, 0.113472015, 0.11121376, 0.08468041, -0.00591968, -0.0029689223, 0.04090041, -0.018705353]","[3.4733403, 1.8224849, 4.6181364, 4.2970304, 3.4175112, 3.1317928, 2.3530533, 2.1289625, 4.426731, 4.3175116]"
100,"[-1.446416, 5.7835073, 2.7182586, -0.25949162, 1.3091967, 0.64095354, -0.022240222, -0.20158699, -0.17403808, 0.09241924, 0.26931825, 0.03057547, 0.24231993, 0.108745724, -0.07728125, 0.009371281, -0.018183425, 0.05558, 0.092755616, -0.03482032, 0.07053384]","[3.5261426, 4.8865137, 2.2480984, 2.7115805, 4.471786, 3.7794127, 4.677642, 1.009712, 3.8100812, 3.1220224]"
101,"[3.15376, -12.819466, 1.6067414, 3.0400567, -4.1208506, 0.2687049, 0.04574257, 0.16451055, 0.28043205, 0.0031612515, -0.015294708, 0.20126773, 0.19816756, 0.016853154, 0.6660415, 0.0014509857, 0.15501896, 0.14092433, -0.15982093, -0.0725618, 0.25305265]","[1.2376165, 1.0545267, 2.8707137, 3.510779, 0.9093492, 1.5099809, 1.1829783, 3.4074633, 0.47922567, 0.73149616]"
102,"[2.1114678, -2.0849037, -11.555255, 9.11324, -2.9302757, 3.374341, 0.31498384, 0.13348731, 0.21987131, 0.08819753, 0.32384092, 1.032533, 0.9784316, 0.075758, -0.8462702, 0.21373846, -0.25881323, -0.16018398, -0.05920352, -0.14448898, -0.07787222]","[0.5903324, 4.1671968, 4.8397827, 2.66963, 0.212618, 0.6364703, 4.168561, 0.3467592, 2.8570914, 3.6627824]"
103,"[0.46540785, -4.5179315, 1.9793992, -3.552906, 4.134873, -2.3360276, 0.6012354, 0.26911426, 0.53031784, -0.0870567, -0.17287488, 0.20777726, 0.0339021, -0.12747629, -0.15700167, -0.08747503, 0.056522235, 0.10261196, 0.103043295, -0.053683802, -0.08963534]","[4.55706, 0.4590909, 0.61807585, 1.4438552, 4.482449, 2.9338596, 0.9419266, 2.6534288, 0.970527, 1.8412061]"
104,"[-0.7783571, 1.97802, 4.044077, 0.7353841, -0.34633934, 1.2416363, -0.46789116, -0.26479226, 0.043442965, -0.07391688, -0.12535386, 0.04549888, 0.06439346, -0.0083117, -0.13128205, 0.063039154, 0.11201845, -0.03972456, 0.045739114, 0.045050025, -0.039869353]","[2.6060658, 3.7467594, 3.5130987, 3.948674, 2.771632, 4.5283837, 2.8515701, 4.1438107, 2.3426201, 1.1538731]"
105,"[-0.4469525, 2.343091, -2.4635694, -1.4586029, 2.451397, -1.6404117, -0.12440219, 0.30189016, -0.11021966, 0.21506703, 0.038735643, -0.20685369, 0.14236239, 0.2581051, 0.22367822, -0.04842765, -0.061034597, 0.061925218, -0.10181872, -0.039020203, 0.008052148]","[2.5761077, 2.5010793, 1.6630578, 0.2403235, 2.4188051, 2.199163, 1.6514674, 2.2718108, 4.2677107, 3.054299]"
106,"[-0.6943675, 1.8878675, 0.5521698, -4.506118, -0.6714809, 2.0104992, -0.46387535, 0.095312476, 0.2133755, 0.3220467, -0.36559498, 0.29424992, 0.09995708, 0.0478729, 0.016047351, 0.008521846, 0.14528975, 0.010155734, -0.018190831, 0.023350686, 0.028449938]","[2.2766707, 3.5237563, 3.8015234, 3.5605247, 3.9046078, 2.6591654, 0.24862392, 3.6854584, 4.521793, 1.0826354]"
107,"[0.70691514, -1.7405019, -3.7346544, 5.5505257, 1.4972703, 0.17779851, 0.31461638, 0.2931078, -0.3083794, -0.11406475, -0.018020913, -0.061094165, -0.088709265, 0.109300464, -0.0970664, -0.07237293, -0.09962794, 0.02551286, 0.057373285, 0.051256515, 0.009591635]","[2.7309434, 2.4081724, 1.426782, 1.8147304, 1.0580846, 0.73578364, 4.0387144, 2.2672534, 1.5729526, 2.6141465]"
108,"[0.10552311, -2.0618162, -0.54433155, -1.4609436, 0.5377768, 3.6478224, 0.75158626, -0.38451105, 0.044957444, 0.3016194, 0.24890254, -0.16065866, -0.23124689, -0.35053983, -0.14515202, -0.08461127, 0.18815422, 0.019086897, -0.2678744, 0.020860702, -0.093840905]","[4.935368, 3.2518017, 2.6711717, 4.573542, 1.423018, 2.0729122, 1.4751822, 0.67744917, 0.7632203, 3.5555458]"
109,"[0.019390106, 1.9412999, 0.36217284, -1.1291404, -5.8712215, -5.962341, -0.27867115, -0.28120437, 0.0007714033, 0.07273072, 0.2908836, -0.13293076, 0.14906149, -0.15044354, -0.11344083, -0.3221507, 0.36518198, 0.015369162, -0.113023914, -0.21801135, 0.123582914]","[0.5456426, 0.26800045, 2.0779796, 1.5221256, 3.9482603, 4.011682, 2.9496973, 3.0193262, 3.2950704, 1.8629285]"
110,"[0.5839791, -3.6784296, -0.55496883, -2.6358988, 4.9119005, -4.4609947, 0.56530386, -0.25198138, -0.17759936, 0.29612198, 0.10598177, 0.033269465, 0.0075861216, -0.1669442, -0.17448089, 0.44359, -0.12678818, -0.06925135, -0.06545201, -0.12196145, 0.024658598]","[1.3692362, 3.8971674, 0.674714, 0.36432815, 3.0259533, 3.342214, 1.9614575, 0.9115228, 0.89619726, 3.1872385]"
111,"[-0.18342233, 0.41512918, 2.246942, 3.3847175, -1.2543291, 1.9364469, -0.67886084, 0.37167248, 0.09820464, -0.2295356, -0.17512691, -0.056050852, -0.20477661, -0.42250702, 0.024522595, 0.1775807, 0.091824666, 0.10054506, 0.11445859, -0.03616578, 0.07567712]","[3.953094, 1.1104264, 4.8449783, 4.395256, 2.1193702, 1.1343526, 3.7206457, 3.505122, 2.6919463, 0.31421012]"
112,"[0.20358491, 0.21768284, -5.3223658, 2.0286527, 1.4318782, 1.3686607, -0.23430154, -0.09575951, 0.15652877, 0.13268912, -0.14784685, -0.067368746, 0.009143375, 0.15750045, 0.13699627, -0.16140701, 0.050490685, -0.041181218, -0.0382507, 0.033480376, -0.039064884]","[2.9775887, 3.1261654, 1.7823765, 2.0126028, 0.64648503, 1.4903656, 1.2674427, 3.3317785, 4.0435853, 2.0327933]"
113,"[-1.1957043, 4.969634, 3.1292133, -0.17687356, -1.1231706, -0.010849476, 0.23090953, 0.07256803, 0.058224738, -0.20355043, 0.09169476, 0.09967491, 0.10311931, 0.22471988, -0.09458468, 0.15316567, 0.029387116, -0.07061978, 0.06373815, -0.0015607327, 0.04641952]","[1.9596779, 1.9220717, 3.6076531, 2.796715, 4.5722513, 3.8843737, 4.468487, 2.0609818, 2.5198917, 4.0326266]"
114,"[0.44242, -3.5155287, 0.6923108, 0.21300566, 0.23275621, 0.6812067, 0.26089013, -0.634899, 0.15785071, 0.1832392, -0.014010683, -0.17246467, -0.046570435, -0.047088496, -0.058779657, 0.020558078, -0.16726963, -0.07328357, -0.04022312, 0.077381596, -0.014728285]","[1.3668672, 4.593952, 1.6487826, 3.7596805, 1.0160202, 4.016628, 2.343762, 1.0181317, 1.062027, 1.7180989]"
115,"[-1.1907314, 5.2663617, 1.7679683, 0.10064125, 0.41377175, -0.38450104, 0.22423998, 0.38853893, 0.04848308, -0.28510967, 0.06764599, 0.020227328, 0.078639075, 0.2308885, 0.032352727, -0.030511558, 0.089729294, 0.10373727, -0.009702139, -0.07604678, 0.0069664195]","[3.6130166, 0.6840882, 2.9867082, 0.87931395, 4.102485, 2.4833243, 3.6279998, 3.0787249, 3.3359551, 4.157131]"
116,"[-0.34579754, 1.7380714, -2.8637466, 0.19340086, 3.6976068, -0.5677309, -0.048380956, 0.39503804, -0.2989788, 0.21340254, -0.04675117, 0.16288844, -0.14463511, -0.16705869, 0.21449116, -0.26382887, 0.037562132, -0.020589575, 0.006635856, 0.22278197, 0.025481926]","[3.9880881, 3.4913533, 0.4847701, 2.7245076, 3.2262082, 0.17330648, 1.4375455, 3.7937071, 3.9003491, 3.0242968]"
117,"[-0.14609575, 0.47829437, 1.5960678, 1.5840539, -2.553248, -0.5619519, -0.24404734, -0.09770846, 0.019057393, -0.02028355, -0.1482758, -0.305484, -0.04304707, 0.1005791, -0.02031646, 0.22007218, -0.054256737, -0.016978204, 0.029640391, 0.029965237, 0.001288008]","[0.99540854, 2.0965729, 4.085782, 1.8342171, 1.782331, 2.9752445, 4.464081, 1.4697124, 2.2495542, 1.3469962]"
118,"[-0.43094563, 2.8217783, -1.6322956, -3.1841166, -3.3166423, -1.9044127, -0.16988781, -0.16391346, 0.03332466, 0.19515826, -0.17985572, 0.29943496, 0.07183076, 0.23388973, 0.21499455, -0.08293515, 0.043142244, -0.15665944, -0.12973216, -0.022400202, 0.019310348]","[0.13343292, 2.2859297, 2.4846413, 2.5847206, 2.4575982, 3.805906, 0.68024063, 4.2405562, 4.9907, 4.160463]"
119,"[-0.6590264, 1.9770977, 2.3353677, 1.7701575, 0.7476249, 1.0237789, 0.1873793, 0.11671364, -0.12473947, -0.13946673, 0.079574466, -0.078578666, -0.1529029, -0.092254445, -0.06873111, -0.055835366, 0.037735242, 0.0787943, 0.1164183, 0.014617458, 0.029316982]","[4.7544236, 1.6850983, 2.1873438, 3.4957743, 2.884042, 1.6569108, 3.9551702, 2.4804945, 1.7516, 2.4192576]"
120,"[2.4130664, -12.451232, 8.084537, -1.4978328, 1.22476, 2.4721794, 0.11532414, 0.450648, -0.3126818, 0.5896659, 0.97451186, 0.17850757, 0.22447228, 0.193802, 0.66013116, 0.03052716, -0.057730854, -0.013302833, -0.23529847, -0.18793756, 0.07535109]","[2.9445531, 4.114381, 3.676894, 1.5005953, 4.5566454, 1.3706256, 1.741458, 0.1035, 0.26335073, 0.5037375]"
