Iteration,test_preds,estimated_params,posterior_means
44,"[-0.7914708, 3.3659763, -0.88437676, 0.6331456, 2.6717906, -0.07235705, 0.17052317, 0.19833629, -0.34636933, 0.14136638, 0.2369238, -0.14621006, -0.019886956, -0.015666854, 0.12296223, -0.18504602, -0.03855165, 0.032475628, 0.0395308, 0.06774797, 0.05353366]","[3.1679215, 2.9852235, 1.5634028, 2.4018238, 2.9222972, 2.6661785, 2.9873273, 2.2098367, 3.5471568, 2.8922415]","[3.194962739944458, 2.4691638946533203, 2.095297336578369, 2.4278476238250732, 2.6298093795776367, 2.5280921459198, 3.074434757232666, 2.4156548976898193, 3.553570508956909, 2.8880491256713867]"
45,"[0.07138222, -0.9751798, 2.406433, 0.26184526, -3.468208, -0.7856914, 0.066134535, -0.1632072, 0.036091078, -0.1276872, -0.19785441, 0.024875084, -0.107205346, 0.04308469, -0.048442338, 0.07214002, 0.119979545, -0.16645212, -0.07819809, 0.07139768, 0.0006931955]","[0.65522283, 0.86192334, 1.783971, 1.5697947, 1.5494492, 1.8349718, 2.0495973, 1.5405375, 1.093776, 1.5131252]","[1.1193007230758667, 1.882468819618225, 3.053863286972046, 2.4180445671081543, 2.7905030250549316, 2.357839822769165, 2.761575222015381, 2.6902451515197754, 2.005676507949829, 2.5402438640594482]"
46,"[-0.6270724, 2.731342, -0.67572916, -1.2037535, -0.9674121, 0.7175854, 0.06541308, -0.26425663, 0.13034016, 0.2576744, 0.22632833, -0.29837075, 0.06915878, 0.031624567, 0.06425441, 0.17937273, -0.18634301, -0.1153786, -0.069988415, 0.03819928, -0.004166126]","[1.7338526, 1.4866884, 2.4036133, 2.616377, 2.0093846, 1.9813521, 1.5055987, 1.8324025, 1.8713346, 2.8242283]","[2.5402557849884033, 2.719109296798706, 3.105855703353882, 2.5760552883148193, 2.80259370803833, 2.5864620208740234, 2.3070712089538574, 2.4722375869750977, 3.1649558544158936, 2.7273876667022705]"
47,"[2.6861327, -12.982068, 8.632575, 1.1270398, 2.4880445, -0.0827766, 0.060661625, 0.24021944, -0.07464259, 0.1239892, 0.47827703, 0.42524225, 0.8081721, 0.11414136, 0.8862238, -0.31232926, -0.16015042, -0.022930225, -0.1258932, -0.13402642, -0.13063233]","[3.060957, 0.1569, 3.2879815, 1.2950118, 3.0554323, 3.016364, 1.7065465, 2.3385646, 0.21212545, 0.5561465]","[2.6197597980499268, 2.2644779682159424, 2.8035688400268555, 2.3383824825286865, 2.708725690841675, 2.9224963188171387, 2.6799352169036865, 2.601760149002075, 0.21359682083129883, 0.5509462952613831]"
48,"[-0.8031151, 2.8830986, 3.1109884, 2.3636794, -0.45036948, 1.7610124, -0.07018467, 0.23020998, -0.5892687, -0.03652816, -0.083530925, 0.24296929, -0.24175479, -0.24532093, -0.02920307, 0.12771328, 0.06461487, -0.014834552, 0.12654679, -0.024121309, 0.0732937]","[3.1653564, 2.7225313, 2.1621225, 2.489575, 2.2084732, 2.627593, 3.6494477, 3.5137765, 2.3905232, 3.0502572]","[3.0359346866607666, 2.5596847534179688, 3.2894487380981445, 2.579695701599121, 2.3833630084991455, 2.5819737911224365, 3.564366102218628, 3.152622938156128, 2.667269229888916, 2.3866500854492188]"
49,"[1.4038272, -3.0885062, -7.630482, -5.463254, 4.3189516, -7.1914787, 0.15000759, 0.5112988, 0.675511, 0.12586562, 0.1767206, 0.5220254, -0.19515368, -0.2142684, 0.37206522, 0.6396535, 0.43177244, -0.33343196, 0.38349414, -0.08472905, 0.02984191]","[1.0278889, 0.9203583, 0.48773402, 0.26414356, 1.482583, 1.0504352, 0.98903894, 1.2321074, 2.2712615, 3.4823494]","[4.605557918548584, 2.1338531970977783, 0.13665571808815002, 3.4968602657318115, 3.3648200035095215, 3.5876076221466064, 1.8595651388168335, 2.435857057571411, 3.304893732070923, 1.6242318153381348]"
50,"[-0.9057136, 3.2116027, 2.0382466, -2.6191874, -1.4306223, 0.6108478, -0.13575396, 0.24061893, 0.19542663, 0.19110605, 0.11103849, -0.12554276, 0.27058843, 0.03316265, -0.13275436, 0.27232033, -0.086456396, -0.056676332, -0.050683334, 0.04329661, 0.03442186]","[1.8268392, 2.0059817, 2.3636208, 2.314846, 3.1143436, 2.824169, 2.1878002, 1.8051856, 3.679596, 2.2291846]","[2.121765375137329, 2.453781843185425, 2.933372735977173, 2.6761832237243652, 3.688725233078003, 2.6837432384490967, 2.3155064582824707, 2.5206241607666016, 3.1618056297302246, 2.5862369537353516]"
51,"[1.5378358, -4.9279976, -6.9710083, 5.6882243, 1.7943975, 1.0606018, 0.9093025, -0.09178888, 0.322949, -0.21099918, 0.09688818, 0.20473415, 0.08406575, 0.17986749, -0.35811016, -0.14328161, 0.08738044, -0.076216675, 0.004778377, 0.10699038, 0.08027508]","[3.1208584, 3.9402318, 0.132, 2.1841738, 0.49111772, 1.7999148, 4.7385583, 4.43441, 1.9796711, 3.4648411]","[2.3983154296875, 2.8444509506225586, 1.4790457487106323, 2.388096570968628, 0.6661391258239746, 0.993215024471283, 3.120361328125, 2.988393545150757, 2.5207884311676025, 2.7694900035858154]"
52,"[-0.6012047, 1.817208, 2.0476072, 2.7704544, 1.3686124, 0.975137, -0.043554485, -0.056846067, -0.5660516, 0.031182269, -0.11229641, -0.13767652, -0.12217252, 0.12498739, -0.07563984, -0.039765175, 0.07632182, 0.112425685, 0.06615461, -0.024319693, -0.020674517]","[1.8216072, 0.72878605, 1.758854, 1.3595425, 1.1611955, 1.4108607, 2.6965714, 1.7277744, 1.3653123, 1.2250828]","[3.1927130222320557, 2.5920369625091553, 2.884523391723633, 2.5446465015411377, 2.282043933868408, 2.350022315979004, 3.639655113220215, 2.622157096862793, 2.324878454208374, 2.4966723918914795]"
53,"[-0.02336121, 0.013057208, -1.3199059, -5.1181636, -2.9700935, -0.7945276, -0.23618667, 0.10797987, 0.501078, 0.084694505, -0.20394492, 0.16377199, 0.053181313, 0.14026158, 0.034385476, 0.001790192, -0.08846794, 0.044117644, 0.038453743, 0.108552456, 0.06403994]","[0.76034695, 1.5005274, 2.0999227, 2.4994667, 2.174803, 2.090333, 0.3087369, 1.5763913, 2.9255037, 2.2003446]","[2.1787900924682617, 2.2270171642303467, 2.7216920852661133, 2.438626766204834, 2.6717584133148193, 2.653822660446167, 1.403098702430725, 2.2593414783477783, 3.1122522354125977, 2.563436985015869]"
54,"[-0.659826, 3.3531938, 1.2367846, 1.0126929, -1.9636147, -1.912136, -0.045852512, -0.3416014, -0.3523275, -0.118585065, -0.1405257, 0.30481762, -0.11484806, 0.11392689, -0.042258512, -0.05437312, -0.07790257, -0.09115463, -0.09407268, 0.027272854, 0.0020513476]","[0.7583553, 1.7702907, 2.5471413, 2.3999903, 2.1941252, 1.2477728, 3.898756, 2.524735, 2.386298, 2.1323717]","[1.4892706871032715, 2.5976972579956055, 2.7530155181884766, 2.5421760082244873, 3.0382189750671387, 2.3804869651794434, 3.3739089965820312, 3.042299270629883, 3.0689432621002197, 2.5278608798980713]"
55,"[-0.07865429, 0.9947912, -3.8325284, -0.403315, 0.24611259, 2.0430818, -0.041353885, 0.693424, 0.09807461, 0.12139713, 0.030648474, -0.27770936, -0.02440128, -0.14926206, 0.24662285, -0.07963979, 0.045567375, -0.008556349, -0.02326399, -0.094994865, -0.14439757]","[3.7992897, 4.225708, 3.2975118, 3.3946111, 2.9500656, 3.8155413, 2.9877827, 3.7205462, 4.0036283, 3.7173355]","[2.724910259246826, 3.248260736465454, 1.9802567958831787, 2.5598561763763428, 2.3293771743774414, 2.785879611968994, 2.2934958934783936, 2.420912742614746, 3.064615249633789, 2.579216957092285]"
56,"[0.46823815, -2.9499116, 0.40665138, 3.0741692, 0.29961908, 1.9204098, -0.8846464, -0.16987531, 0.32404438, 0.14393418, -0.19005536, -0.4764901, -0.022176137, -0.2613683, -0.10982727, 0.10005867, -0.030262347, 0.05262892, 0.02933398, 0.010253431, 0.084938206]","[1.8337264, 1.481527, 1.5780817, 0.8806316, 1.7755401, 1.8297744, 1.9984562, 1.2037694, 0.4032938, 0.25057113]","[2.7867648601531982, 2.420001268386841, 2.4304561614990234, 2.309786081314087, 1.459317684173584, 2.867924690246582, 2.6160852909088135, 3.047450065612793, 1.567703366279602, 2.0914652347564697]"
57,"[-0.6655059, 1.3538611, 3.9187648, -0.77776176, -0.17094071, -0.095679656, 0.43518326, -0.025726944, 0.05862258, -0.1500503, -0.054125044, 0.08525985, 0.042445745, 0.2010393, -0.27042404, 0.023797493, 0.029451987, -0.08709785, -0.018670281, -0.008359086, -0.034167916]","[2.9976223, 2.610975, 3.5731223, 3.8107104, 4.155523, 3.2444832, 2.7657423, 2.1695635, 2.6111302, 1.8251697]","[2.5625269412994385, 2.8490850925445557, 3.4253313541412354, 3.13454008102417, 3.636284828186035, 2.9533965587615967, 2.6499292850494385, 2.6989989280700684, 1.7817399501800537, 2.671025276184082]"
58,"[0.60186225, -4.880461, 5.2504597, 0.44701627, 0.0140930675, 0.41959807, -0.7220469, 0.036816508, 0.19514054, -0.015306949, -0.23916073, -0.03786903, 0.17490114, -0.09019172, -0.027711911, -0.0749157, -0.011078058, -0.06633133, -0.017926801, 0.07310821, -0.08703511]","[3.8586683, 2.971264, 3.8613534, 3.375158, 3.5767605, 4.1194997, 4.010334, 3.4501607, 1.984052, 2.9340744]","[2.9477691650390625, 2.6557347774505615, 2.8096489906311035, 2.33566951751709, 2.689600944519043, 2.5864064693450928, 2.850593328475952, 2.609684944152832, 1.1557368040084839, 2.4429802894592285]"
59,"[-0.103291675, 2.3220484, -4.4656205, 2.4917212, -0.5069379, 1.4865843, 0.08507724, 0.9319521, -0.34435076, 0.12422432, 0.10802887, 0.05624629, -0.0076750806, -0.3897751, 0.25651643, -0.020941492, -0.23168193, -0.07381083, 0.06936567, -0.12051753, -0.1838442]","[2.4712522, 1.0495701, 2.3517294, 0.8090891, 1.4803123, 4.525852, 1.5571994, 0.8527812, 3.8089685, 1.3652959]","[3.009354829788208, 2.6606476306915283, 2.8882415294647217, 2.5629913806915283, 1.328582763671875, 4.327392101287842, 2.8461623191833496, 2.327911615371704, 3.25612211227417, 2.537221908569336]"
60,"[0.55371827, -2.1405303, -6.9206414, -5.5247254, 1.9287012, 4.292484, -0.27500036, -0.6645077, 0.0631756, -0.048268028, -0.18998247, 0.34593618, -0.1571079, 0.029699426, 0.23311315, -0.32381314, 0.1234802, 0.028920492, 0.22580707, 0.05536758, 0.037708726]","[4.9598484, 4.8151, 2.4550388, 3.4346175, 1.1807595, 1.6444944, 0.40050316, 2.161548, 0.52658695, 2.3771877]","[2.8379335403442383, 3.7367005348205566, 2.7301559448242188, 3.2485227584838867, 0.8096264004707336, 1.5243682861328125, 0.624681830406189, 1.9494203329086304, 2.251108407974243, 2.945631504058838]"
61,"[0.33777058, -1.398511, 4.6651444, 0.7495194, -5.6784997, -3.9286473, 0.17329895, -0.40124395, -0.37192714, -0.16895631, 0.012615277, 0.0039497176, 0.17531936, 0.009752769, -0.20192061, -0.16768044, 0.29116762, -0.24095073, -0.030478485, -0.036585703, -0.036706045]","[0.2942216, 1.0183059, 2.4262207, 2.097068, 1.6870459, 1.4958884, 1.6106933, 0.2796069, 2.3066049, 1.3631823]","[0.5155212879180908, 0.8883233070373535, 3.087836980819702, 2.9931154251098633, 2.994150400161743, 2.5282678604125977, 3.0057992935180664, 2.540625810623169, 1.8716424703598022, 2.470865488052368]"
62,"[-0.6295617, 1.8096304, 0.6400432, -3.6449416, -0.47540042, 0.20101073, -0.041925855, 0.04259747, -0.02123764, 0.29778442, -0.19479376, 0.04785443, 0.12855166, 0.2521801, -0.11592693, 0.089830935, -0.035482075, -0.09086387, -0.084972985, -0.049648337, 0.0006926798]","[1.5143638, 1.2543799, 1.8063989, 1.2973849, 2.954156, 1.892627, 0.76432425, 1.3342222, 2.132052, 1.5938286]","[2.7039098739624023, 2.642106294631958, 2.9334511756896973, 2.5438859462738037, 3.445768117904663, 2.675553560256958, 1.5512865781784058, 2.8900516033172607, 3.0412817001342773, 2.7014782428741455]"
63,"[1.3477716, -5.846428, 2.525141, 6.7580643, -0.42977253, 1.0566143, -0.22552495, 0.24565952, 0.053633153, -0.562321, -0.10567234, -0.031224534, -0.11774317, -0.2640531, 0.24417478, -0.044869825, 0.051756278, 0.10829376, 0.06079752, -0.02566125, 0.21680526]","[2.2104535, 2.2317038, 2.3316927, 0.577136, 0.44876468, 0.69141996, 2.2391448, 1.5725412, 0.4545858, 0.8242787]","[2.8688089847564697, 2.8586626052856445, 2.501539468765259, 2.4301161766052246, 2.2372658252716064, 2.1676557064056396, 2.914616584777832, 2.4246413707733154, 0.949902355670929, 2.4020473957061768]"
64,"[-0.3436166, 0.775426, 0.1921697, 1.4330971, -0.15821205, 2.4090889, -0.16110505, -0.110826574, 0.013379611, 0.16350475, -0.077813126, -0.13959731, -0.16926028, -0.12167425, 0.019973284, 0.07455619, 0.086314745, 0.032865908, -0.041578125, -0.020085827, -0.012236756]","[3.2928028, 2.4448414, 3.4226415, 2.7874324, 1.6671624, 3.160772, 3.139885, 2.5781348, 2.2624426, 2.3180625]","[3.249575138092041, 2.4871268272399902, 3.1158151626586914, 2.6293609142303467, 1.9897732734680176, 2.7365965843200684, 2.8582603931427, 2.333089828491211, 2.511195182800293, 2.7589218616485596]"
65,"[-0.7832953, 3.6730123, -0.44434097, -2.2126167, 0.8290007, -2.0236862, 0.18916242, 0.053190913, 0.25322002, -0.006181265, 0.33517712, -0.044450656, 0.16267467, 0.06175524, 0.104293935, 0.017924689, -0.29180184, -0.12652834, 0.012891399, 0.032748226, 0.19670814]","[1.5854672, 0.85815066, 1.0352539, 0.9899239, 1.7060211, 1.2836062, 1.489043, 1.3765057, 2.2496037, 1.1429359]","[2.6043388843536377, 2.548774003982544, 2.2038345336914062, 2.4647645950317383, 2.89741849899292, 2.466747760772705, 2.6579930782318115, 2.6447691917419434, 3.3353312015533447, 2.226733922958374]"
66,"[-0.7783458, 2.468741, 0.91269106, -2.7587693, -1.0186138, 2.1045036, -0.06389655, -0.3090663, 0.22194567, 0.30288464, -0.018925516, 0.15694323, 0.019760301, -0.011267141, -0.04033633, 0.1336965, 0.07068415, 0.006358535, -0.13056925, 0.07829782, -0.0362291]","[2.8521361, 2.760207, 3.4530003, 2.557119, 2.899461, 2.5649087, 1.2949175, 2.58771, 2.8163154, 2.241975]","[2.803018093109131, 2.9462528228759766, 3.352377414703369, 2.7203404903411865, 3.233238458633423, 2.4780941009521484, 1.4176902770996094, 2.6546993255615234, 3.0652785301208496, 2.4791572093963623]"
67,"[-0.045406416, 0.52277493, -0.47103795, 2.2589197, 5.037442, -4.65482, 0.38738146, 0.01396875, 0.16050978, -0.29018682, 0.017629594, 0.4413117, -0.35379872, -0.19836694, 0.020399975, 0.23141523, 0.23453383, 0.23196062, -0.15728109, 0.031305753, -0.057168934]","[2.4707923, 2.3411288, 0.28368866, 1.1742066, 2.093694, 1.338408, 1.9856945, 1.4095902, 2.1417022, 0.61272025]","[4.734001636505127, 4.828923225402832, 1.9747376441955566, 4.285048961639404, 1.499058723449707, 2.3538625240325928, 2.9085171222686768, 3.663409948348999, 1.5863231420516968, 3.1154491901397705]"
68,"[-1.0387796, 3.6833274, 2.297767, -0.3152844, 0.16703957, 1.567674, 0.2089676, 0.23410913, -0.27560735, 0.0912254, 0.050774563, 0.13322693, -0.080972426, -0.12064615, -0.09268554, 0.027757864, 0.101748906, -0.0020829116, 0.016917055, 0.008429249, 0.030062646]","[4.1910353, 3.8584664, 4.0775824, 3.9022272, 4.153973, 3.9353743, 4.2893553, 4.104265, 3.929804, 3.680952]","[3.400698661804199, 2.585845708847046, 3.345460891723633, 2.538088798522949, 3.1531054973602295, 2.564892292022705, 3.2394211292266846, 2.769479990005493, 3.1212732791900635, 2.597184419631958]"
69,"[1.0482187, -2.646804, -5.7628536, 3.5105946, -1.1090581, -0.6105962, -0.47521386, -0.36001638, 0.5344096, 0.045556773, -0.020204818, -0.6618502, 0.123686485, 0.096089125, -0.0925267, 0.1589937, -0.12204356, -0.04576338, 0.033476856, 0.036389973, 0.14520103]","[1.6475537, 1.4902687, 1.773281, 0.6777801, 0.1011, 1.8601176, 1.9876153, 2.2863386, 1.4855354, 0.92507523]","[2.5794079303741455, 2.2898993492126465, 2.4931557178497314, 2.712836265563965, 1.0843428373336792, 2.0322349071502686, 2.57797908782959, 2.6132595539093018, 2.8438549041748047, 2.5755553245544434]"
70,"[0.014251985, 0.24918258, -2.0653784, -0.054943137, 1.465385, -3.0018904, 0.23069136, -0.49203485, 0.0030266803, 0.11641138, -0.12017188, 0.14025089, -0.20972136, 0.15945783, -0.0022363025, 0.06482238, -0.1543427, -0.041953836, -0.124188446, -0.100878276, 0.0013369262]","[1.6915851, 2.5865664, 1.5285797, 3.7890759, 2.7923055, 3.2051506, 2.4249249, 2.4164772, 3.016622, 1.9884484]","[2.1917564868927, 2.0978128910064697, 1.3696188926696777, 2.8003110885620117, 2.58878755569458, 2.2961881160736084, 2.496105909347534, 2.663370370864868, 2.8776144981384277, 1.991358757019043]"
71,"[-1.2141131, 4.769974, 1.3635159, -1.5380042, 0.29379913, 1.8496841, -0.14063263, 0.20791957, 0.009538384, 0.23019642, 0.25743777, -0.10590665, 0.21610944, -0.19071102, 0.025986763, 0.05153688, 0.06025416, 0.003310021, -0.0062453332, 0.0076506846, 0.027277716]","[3.546176, 2.1962907, 3.4487464, 2.7141538, 2.5872767, 3.089276, 1.6106852, 3.249818, 4.837287, 2.3221061]","[3.2914931774139404, 2.5493710041046143, 3.3934617042541504, 2.5329806804656982, 3.499119281768799, 2.7513043880462646, 2.3589906692504883, 2.610968828201294, 4.028865814208984, 2.568239450454712]"
72,"[0.15710734, -1.8532529, -2.7210596, -5.1171923, 3.091144, -0.13375884, -0.41320702, 0.4279277, -0.37215868, 0.38723138, -0.27056578, -0.34481603, 0.050403647, 0.2510623, 0.049443845, -0.09814342, 0.07354747, -0.12608686, 0.08365725, -0.10269806, 0.06751063]","[2.4484074, 2.5563405, 1.5916365, 1.6540796, 1.9477471, 2.5112844, 0.1583561, 1.7403162, 2.6397161, 2.1064317]","[2.7621850967407227, 2.5123047828674316, 2.509305953979492, 2.4738926887512207, 1.939571499824524, 2.659914493560791, 0.6311957836151123, 2.8833882808685303, 2.9784767627716064, 2.504735231399536]"
73,"[0.22766252, -1.9121547, 3.9794567, 2.306844, -1.933097, -0.61588585, 0.79971087, 0.056308676, 0.21689792, -0.5942497, -0.083278745, -0.037013948, -0.15278661, 0.05534052, 0.06537732, -0.051536795, 0.14658926, -0.16502365, 0.0061997706, 0.06258563, 0.0114738215]","[2.057521, 3.2410865, 2.7515016, 2.0853317, 2.7903728, 2.3985915, 3.162291, 2.0424385, 1.3515044, 2.637406]","[2.63547420501709, 3.379805326461792, 2.5200212001800537, 2.603569269180298, 2.7837860584259033, 2.475313425064087, 2.889746904373169, 1.9274029731750488, 0.9776356220245361, 2.776381254196167]"
74,"[0.21824422, -2.9537218, 2.9919271, 0.43020698, 4.122286, -2.544564, -0.12751287, 0.045110468, -0.0885683, 0.04450347, -0.134745, -0.042851176, 0.037023976, -0.1995678, -0.1949826, -0.08056647, -0.14091003, 0.062440723, 0.022833835, 0.13912398, -0.014684272]","[1.9646245, 1.5482512, 0.52485263, 0.9990009, 0.5722063, 0.83096546, 0.78936315, 0.99164915, 0.16857356, 1.4504]","[2.9763073921203613, 2.9449899196624756, 2.236276626586914, 1.9919977188110352, 2.5242197513580322, 2.537717819213867, 2.4049859046936035, 2.4186270236968994, 1.5562664270401, 2.5489187240600586]"
75,"[-0.24345563, 1.5835278, -0.981109, 0.40698475, -2.5910714, 0.4656357, 0.19283083, 0.056019954, 0.6704563, -0.42340007, -0.029348515, -0.14543673, -0.2435656, 0.054526836, 0.18396781, 0.030554658, 0.1578935, -0.037726846, -0.040252954, -0.008216585, -0.034577075]","[1.4580929, 1.3859012, 4.670605, 1.3473419, 0.40990296, 2.5450082, 2.548568, 2.3962393, 2.0234833, 0.701494]","[1.9881362915039062, 1.4813833236694336, 3.4819140434265137, 2.505955696105957, 1.5589065551757812, 2.4733290672302246, 2.7373464107513428, 2.5319178104400635, 2.900407314300537, 1.5922672748565674]"
76,"[-1.1280515, 5.1075263, 0.17756674, 1.3226352, 2.7769773, -0.57660925, -0.07207295, -0.2410911, -0.23928884, 0.035467688, 0.17738788, 0.04735174, 0.08548208, 0.17728692, 0.15043765, -0.12375293, -0.026663257, 0.19521715, -0.005599964, -0.072234675, 4.465645e-05]","[2.7507505, 1.6632104, 1.4739113, 2.0290847, 2.777448, 2.2188454, 3.1194916, 1.5636345, 3.5951118, 1.9829797]","[3.6543962955474854, 2.634490966796875, 1.7629852294921875, 2.5662708282470703, 3.4730443954467773, 2.6015005111694336, 2.988368511199951, 2.3820695877075195, 3.5833544731140137, 2.823920965194702]"
77,"[1.1327438, -5.413236, -2.949834, -8.417504, -3.7974997, 1.2103567, -0.2772333, -0.08942806, -0.3774028, -0.08264947, -0.32960516, 0.34362632, -0.22039959, 0.12143634, -0.037064116, 0.2697116, -0.1479561, 0.33632687, 0.11150875, 0.081937365, 0.040958636]","[0.39662796, 1.6190959, 2.7260923, 0.92020196, 1.6550801, 1.5731707, 0.26637095, 0.7431848, 1.6673913, 1.4668915]","[1.0433743000030518, 2.5025784969329834, 3.389225721359253, 2.196201801300049, 2.972662925720215, 3.0234100818634033, 0.5151339173316956, 0.8346892595291138, 2.80427622795105, 2.533456325531006]"
78,"[-1.2114644, 6.023572, 1.5235363, 0.83795035, -1.8757476, 0.21702375, -0.13581593, -0.040806703, -0.21062434, -0.12563856, 0.009393017, 0.25372934, 0.05474427, 0.064092286, 0.17279556, 0.14034961, 0.003114825, -0.08415247, 0.05344208, 0.027653988, -0.023210531]","[4.3738675, 3.6869993, 4.0110254, 3.0319266, 3.772481, 3.4073882, 4.154642, 2.771735, 3.662755, 3.292889]","[3.5903942584991455, 3.1343698501586914, 3.537968397140503, 2.749051094055176, 3.8728199005126953, 2.9638657569885254, 3.9881350994110107, 3.233511447906494, 4.2150163650512695, 3.659949541091919]"
79,"[1.660047, -8.806263, 0.15191476, -4.9021015, 4.601371, -1.3696853, -0.7797849, -0.18810757, 0.37092617, -0.05895797, 0.32934862, -0.32362062, 0.04437989, -0.30891785, -0.28151196, 0.053127192, -0.11940609, -0.208135, 0.23642649, -0.193412, -0.18821068]","[2.073007, 2.1383653, 0.43713966, 0.897153, 1.173604, 1.9140842, 2.2535107, 0.3987215, 0.49922347, 0.77908856]","[2.4318151473999023, 2.4766299724578857, 4.38560152053833, 3.3269903659820557, 2.436779499053955, 2.485046625137329, 1.5503451824188232, 2.3364458084106445, 1.8462214469909668, 3.1686525344848633]"
80,"[0.72098607, -5.103268, 3.931777, 3.3642392, 0.86775887, 1.7121584, 0.5997908, -0.5473704, -0.2574232, -0.018020405, -0.053326, -0.15656485, 0.16092269, -0.050862048, 0.25761995, 0.017398713, -0.030480066, 0.017269172, 0.051698506, 0.04568294, 0.04467501]","[1.612168, 1.9066336, 1.6810242, 1.2907674, 1.5856222, 1.1496403, 1.5514874, 1.2044224, 0.71481484, 1.4883552]","[2.6520705223083496, 2.7714221477508545, 2.743959426879883, 2.523155927658081, 2.903521776199341, 2.581174612045288, 2.7881131172180176, 2.571878433227539, 0.930297315120697, 2.184278964996338]"
81,"[-0.5473265, 3.3240716, -0.9198025, 0.25270018, -1.2828084, -1.2716141, 0.14184079, 0.7100891, -0.1379685, -0.18536478, -0.06414995, 0.12987076, -0.08984663, -0.0506557, 0.1594969, -0.13605537, -0.022013392, 0.0061279964, -0.085471325, -0.010606177, -0.049830157]","[1.092562, 2.3019953, 2.2605374, 2.5179293, 2.0135999, 1.2508876, 3.288812, 2.2600741, 3.0897262, 2.2537906]","[2.0758817195892334, 2.5800726413726807, 2.7180206775665283, 2.6120636463165283, 2.817746877670288, 2.6084790229797363, 2.9494240283966064, 2.6526007652282715, 3.4500958919525146, 2.847872018814087]"
82,"[1.0324667, -0.27724347, -9.001196, 8.094165, 1.0856903, 0.63942194, -0.39110017, 0.4113029, -0.27284187, -0.0731211, -0.06140094, -0.15790033, 0.58504224, 0.46644753, -0.13995747, -0.020074196, 0.17564447, 0.12590753, -0.0865452, 0.18730095, -0.07286567]","[1.7656323, 1.5775324, 1.569221, 2.9093273, 0.107, 0.7196054, 2.5024736, 1.6173528, 1.0871135, 0.34872082]","[4.271538257598877, 4.194677829742432, 2.928001642227173, 0.4248271584510803, 0.13132072985172272, 2.456756591796875, 1.4650840759277344, 0.2667466104030609, 0.9389406442642212, 0.3410930633544922]"
83,"[-0.3783922, 0.06972542, 0.13023157, -7.158259, 0.41630515, 2.2867463, 0.323025, -0.054890707, 0.09238526, -0.053124223, 0.3532854, 0.005396041, 0.12963524, -0.22078334, -0.31960282, -0.048103053, 0.09013372, 0.102045536, -0.21450068, 0.10009167, -0.028444223]","[1.4322219, 1.4332455, 0.8955, 0.5259876, 1.9484575, 1.7289975, 0.31531808, 1.0855656, 1.8777064, 1.9068005]","[1.7840007543563843, 2.504970073699951, 2.5364270210266113, 2.178455114364624, 3.6269614696502686, 2.8762588500976562, 1.6566919088363647, 4.6436767578125, 2.7893316745758057, 3.0407602787017822]"
84,"[-0.44865614, -0.24260141, 4.7648425, 1.0711874, 0.9291919, 1.5285047, 0.49252272, -0.31108296, -0.32947293, 0.08119265, 0.071185015, -0.09908598, 0.06290307, 0.05000853, -0.17423694, 0.040218595, 0.080429964, -0.006377378, 0.118908696, 0.0075324425, -0.05110834]","[2.1775417, 2.055563, 1.2681768, 0.8938633, 2.0935202, 1.0232279, 2.5552683, 1.0621651, 1.6026492, 1.1046845]","[3.0973434448242188, 2.8802435398101807, 2.756992816925049, 2.4173147678375244, 3.2994799613952637, 2.5170626640319824, 3.1482388973236084, 2.364065170288086, 1.447084903717041, 2.124995708465576]"
85,"[0.085693695, 1.141655, -1.0285391, 0.9171495, -3.554563, -3.843016, -0.3500757, 0.117674604, 0.105755694, -0.23815697, -0.10481159, -0.021123126, -0.09297801, -0.17611739, 0.02853747, -0.3094783, 0.15389454, -0.052566636, -0.13949314, -0.01683636, -0.01512381]","[0.3095829, 2.0687466, 2.2401137, 3.5430484, 2.7115352, 2.8918607, 2.7026184, 3.788548, 2.215088, 2.9420402]","[0.9177538156509399, 2.416585922241211, 2.810331344604492, 2.8729095458984375, 2.272634506225586, 2.5615296363830566, 2.8415417671203613, 2.747382164001465, 2.857189655303955, 2.7073376178741455]"
86,"[0.6997878, -1.7437665, -3.6950402, 2.8119617, -1.6693807, 0.60077685, 0.47294816, 0.15257357, -0.6530886, 0.326066, -0.14605029, 0.25868672, -0.24659117, -0.15053992, -0.12420468, 0.10847003, -0.31176952, -0.11994568, -0.016394988, -0.07180418, -0.06010913]","[1.6527069, 1.8093872, 2.02368, 1.8328534, 1.0687308, 1.6001469, 1.7867538, 1.3314159, 1.870592, 1.8359427]","[2.7275609970092773, 2.5806875228881836, 2.5899319648742676, 2.6430606842041016, 1.1279603242874146, 2.183626413345337, 2.604360580444336, 2.551420211791992, 2.6904971599578857, 2.652669668197632]"
87,"[-0.9578472, 3.1512847, 2.2166796, -0.54147494, 0.33511102, 1.2610191, 0.03437518, 0.13287804, 0.116812594, -0.053943377, 0.026997114, -0.020339746, 0.004126601, -0.02096316, -0.0889169, -0.029003732, 0.14743835, 0.027417377, 0.009234051, -0.019685945, -0.016965436]","[3.882818, 3.3198092, 3.1125271, 2.869577, 2.539928, 3.2240348, 3.4430342, 3.1435015, 3.484802, 2.8325145]","[3.3389062881469727, 2.573570489883423, 2.931795597076416, 2.631709337234497, 2.8344297409057617, 2.246722936630249, 2.991860866546631, 2.6675634384155273, 2.9850494861602783, 2.374474048614502]"
